epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,79021.7,1.29018,1.65621,1.2951,0.60088,0.43978,0.477,0.33286,1.16714,1.29637,1.18877,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
77,80062.0,1.28986,1.65269,1.29392,0.59844,0.44141,0.47691,0.33244,1.16657,1.29555,1.18824,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
78,81105.3,1.29052,1.65255,1.29336,0.59277,0.44301,0.47753,0.33254,1.16626,1.29561,1.18841,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754,0.0254262,0.0084754
79,82147.0,1.289,1.6512,1.29274,0.59259,0.44428,0.47744,0.33244,1.16607,1.29535,1.18829,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,83188.0,1.29166,1.65313,1.29452,0.58753,0.44858,0.478,0.33276,1.166,1.29517,1.18793,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,84224.0,1.28958,1.64959,1.29175,0.58261,0.45008,0.47785,0.33282,1.16641,1.29548,1.18796,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,85264.5,1.2903,1.65019,1.29316,0.58495,0.44743,0.47717,0.33263,1.16605,1.29509,1.18763,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,86300.1,1.2878,1.64941,1.29313,0.58603,0.44702,0.47776,0.33319,1.16611,1.29424,1.18761,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,87335.5,1.29041,1.64851,1.29234,0.58892,0.44448,0.47716,0.3328,1.16592,1.29409,1.18752,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,88372.4,1.28937,1.64729,1.29252,0.58584,0.44653,0.47657,0.33265,1.166,1.29374,1.18759,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
